corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y,stock_code,tacc,gpoa
00890333,2015,-11524510969.0,21486070198.0,16710131330.0,23069504214.0,31087031404.0,36564002554.0,149130.0,케이비부국제1호개발전문위탁관리부동산투자회사,,,149130,-0.902816400317441,-0.21927378377570167
00580603,2015,865477274.0,876045525.0,13603500588.0,926826840.0,,12762761750.0,90970.0,코리아퍼시픽01호선박투자회사,,,090970,-0.0008280536146496663,
00580612,2015,865476847.0,863774289.0,13453738393.0,926826838.0,,12620530625.0,90980.0,코리아퍼시픽02호선박투자회사,,,090980,0.00013490383650172395,
00317830,2015,-15903726325.0,2719175616.0,54529485111.0,147105328721.0,150525150112.0,87518886685.0,86830.0,신양오라컴디스플레이,,,086830,-0.2127872353772961,-0.03907523873456823
00580621,2015,865476869.0,871401105.0,13446608928.0,926826839.0,,12620504085.0,90990.0,코리아퍼시픽03호선박투자회사,,,090990,-0.0004694135796874551,
00580630,2015,865476801.0,866325405.0,13494047813.0,926826838.0,,12663198036.0,91000.0,코리아퍼시픽04호선박투자회사,,,091000,-6.701340353262403e-05,
00533696,2015,574127085.0,578085911.0,9818334155.0,656325429.0,,9814168766.0,83610.0,아시아퍼시픽14호선박투자회사,,,083610,-0.0004033786349502032,
00533696,2016,575700066.0,580569008.0,9813808694.0,663760314.0,,9818334155.0,83610.0,아시아퍼시픽14호선박투자회사,,,083610,-0.0004959030649329128,
00533757,2015,782371360.0,783782242.0,13196482355.0,856867992.0,,13194942887.0,83600.0,아시아퍼시픽13호선박투자회사,,,083600,-0.00010692596490054061,
00533757,2016,784514915.0,794880292.0,13189792552.0,864748113.0,,13196482355.0,83600.0,아시아퍼시픽13호선박투자회사,,,083600,-0.000785465150572696,
00533580,2015,782371461.0,784362455.0,13162145993.0,856716791.0,,13159994867.0,83570.0,아시아퍼시픽10호선박투자회사,,,083570,-0.0001512913963965606,
00533580,2016,784515126.0,788303731.0,13161741363.0,864946080.0,,13162145993.0,83570.0,아시아퍼시픽10호선박투자회사,,,083570,-0.0002878409798838948,
00533793,2015,782371446.0,783358292.0,13147120496.0,857391058.0,,13146082658.0,83580.0,아시아퍼시픽11호선박투자회사,,,083580,-7.506768561199169e-05,
00533793,2016,784515086.0,789102187.0,13147593264.0,866341679.0,,13147120496.0,83580.0,아시아퍼시픽11호선박투자회사,,,083580,-0.00034890537448071775,
00533836,2015,782371769.0,799426424.0,13137951349.0,857057335.0,,13120842713.0,83590.0,아시아퍼시픽12호선박투자회사,,,083590,-0.0012998139961774267,
00533836,2016,784515074.0,778751717.0,13119506011.0,866284036.0,,13137951349.0,83590.0,아시아퍼시픽12호선박투자회사,,,083590,0.00043868003822671183,
00144766,2015,-38861910359.0,-6287088827.0,158022555395.0,126123094320.0,128078637194.0,230979281502.0,4320.0,호반산업,,,004320,-0.14102919240277376,-0.00846631291466316
00372989,2015,-12542065718.0,-4898757113.0,31133574122.0,17063736190.0,14389461355.0,20007153960.0,58370.0,비엔씨컴퍼니,,,058370,-0.3820287793196949,0.13366592971427307
00529523,2015,475697585.0,475601432.0,8068223759.0,524685171.0,,8065687039.0,83360.0,동북아11호선박투자회사,,,083360,1.1921241121192973e-05,
00529523,2016,477000830.0,478656025.0,8072572813.0,528360091.0,,8068223759.0,83360.0,동북아11호선박투자회사,,,083360,-0.00020514986314722013,
00526474,2015,475697641.0,476896405.0,8093600307.0,524685171.0,,8093677218.0,83390.0,동북아14호선박투자회사,,,083390,-0.0001481111697083742,
00526474,2016,477000861.0,478654058.0,8100553154.0,528360091.0,,8093600307.0,83390.0,동북아14호선박투자회사,,,083390,-0.00020425977776171892,
00124018,2015,-2231659553.0,6981868424.0,58942999731.0,36576617184.0,36637190462.0,66332069785.0,25270.0,부산방직공업,,,025270,-0.13890005252155574,-0.000913182389699797
00364926,2015,-82954933187.0,14524476611.0,257497601452.0,318576393950.0,354244452341.0,304080478337.0,65270.0,플렉스컴,,,065270,-0.3205710880590221,-0.11729808696061884
00164955,2015,-2674410054.0,-8223471556.0,40175837805.0,29201952282.0,23531631119.0,43118468489.0,11720.0,현대페인트,,,011720,0.12869338119965062,0.13150562535509724
00790501,2015,3041110983.0,,7423502246684.0,7735467142783.0,7398874804999.0,8515298669644.0,117930.0,한진해운,,,117930,,0.0395279544314647
00394778,2015,-11478381572.0,-4895770881.0,45125501601.0,16141855024.0,9520788930.0,43022768772.0,68150.0,케이엔씨글로벌,,,068150,-0.15300295352641466,0.1538967919309998
00137702,2015,-1409439496.0,36755915745.0,435256833368.0,365553653975.0,324811828307.0,455348222812.0,7190.0,한솔아트원제지,,,007190,-0.08381575534721558,0.08947399732099341
00418476,2015,-5501643334.0,-15052535986.0,73152887817.0,4444328376.0,3594821165.0,71550155095.0,74150.0,엠제이비,,,074150,0.13348528230747925,0.011872891258894902
00587101,2015,-2368083720.0,10826542.0,603211570.0,32931000.0,,2971175594.0,92630.0,바다로3호선박투자회사,,,092630,-0.8006629654618791,
00351047,2015,-5198138375.0,-16535673954.0,44721431955.0,10912750816.0,7367212399.0,83353165770.0,53810.0,아이팩토리,,,053810,0.1360180561141991,0.042536337813291435
00496003,2015,-15585609146.0,-3225963363.0,14793713399.0,1603991091.0,4932981364.0,23735921104.0,82390.0,피엘에이,,,082390,-0.5207148156941397,-0.14025115176334974
00149664,2015,-57073350531.0,-16911473797.0,57717973423.0,,,102573542977.0,15110.0,중앙건설,,,015110,-0.39154225903072754,
00599230,2015,-827606000.0,,4713091000.0,822524000.0,614480000.0,4967255000.0,950010.0,평산차업집단유한공사,,,950010,,0.04188309237194386
00599230,2016,-973604000.0,,3944011000.0,302250000.0,167065000.0,4713091000.0,950010.0,평산차업집단유한공사,,,950010,,0.028682874996472593
00788807,2015,-9325152122.0,-1213216803.0,126499742257.0,176045453.0,,117513680649.0,121550.0,코크렙제15호기업구조조정부동산투자회사,,,121550,-0.06902971019373845,
00125628,2015,1693242600.0,6782682930.0,79918260168.0,64784546443.0,58651503065.0,81682198087.0,158380.0,삼목강업,,,158380,-0.06230782776657429,0.07508421077831028
00810531,2015,2136503176.0,-1245011433.0,47251816682.0,20853634726.0,10074560309.0,17980048985.0,181980.0,자원메디칼,,,181980,0.1880703779962477,0.5995019494102897
00138127,2015,4357654639.0,33996113434.0,69369154701.0,53824700704.0,47446375123.0,62534051652.0,8900.0,티이씨앤코,,,008900,-0.4739571163553751,0.10199763828665985
00120377,2015,-17040647095.0,-664869376.0,19574558060.0,20525305034.0,22824618947.0,71968276563.0,420.0,로케트전기,,,000420,-0.2275416127919206,-0.03194899228950152
00846396,2015,-1613810982.0,-2548989381.0,7139323363.0,5507751476.0,7314868902.0,7789463963.0,138440.0,이코리아자기관리부동산투자회사,,,138440,0.12005683618822847,-0.23199509421749923
01043871,2015,119778175.0,142368918.0,11970010778.0,0.0,,11811308108.0,204650.0,케이티비기업인수목적1호,,,204650,-0.0019126368386494722,
01065536,2015,33901440.0,-42441132.0,12862344786.0,,-55117370.0,,215750.0,미래에셋제3호기업인수목적,,,215750,,
01065536,2016,56604043.0,136948346.0,12940884411.0,0.0,,12862344786.0,215750.0,미래에셋제3호기업인수목적,,,215750,-0.006246474055605369,
00636045,2015,265058527890.0,-14416453596.0,492666167053.0,154258685791.0,195229659783.0,564058345109.0,110570.0,넥솔론,,,110570,0.4954717608725274,-0.07263605679671785
00632331,2015,-969472146.0,-2381542881.0,17343097806.0,13093092837.0,6614145887.0,9950424303.0,189700.0,디피앤케이,,,189700,0.14191060521653012,0.6511226810746786
01111057,2015,343171649.0,-2303794032.0,10107693363.0,10461845110.0,6930423575.0,4630296961.0,232290.0,에스지에이시스템즈,,,232290,0.5716621856642944,0.7626771165530867
00823687,2015,-11652000.0,,1394168000.0,1148712000.0,944543000.0,1306091000.0,900130.0,웨이포트유한공사,,,900130,,0.15632065453325994
00823687,2016,-10125000.0,,1347689000.0,1040153000.0,822528000.0,1394168000.0,900130.0,웨이포트유한공사,,,900130,,0.1560966827527242
00855145,2015,-6860277733.0,5932854527.0,36861967800.0,6462527764.0,,47329499725.0,139200.0,하이골드오션2호선박투자회사,,,139200,-0.27029933412210816,
00110495,2015,-112854032931.0,-36254467915.0,1235997451412.0,1010077054566.0,870477386702.0,2106649715909.0,5620.0,대성합동지주,,,005620,-0.036360845582222474,0.06626619831943159
00110495,2016,-130023577844.0,19716442548.0,1123048451802.0,852584992828.0,739938947745.0,1235997451412.0,5620.0,대성합동지주,,,005620,-0.1211491336174985,0.09113776485082026
00722500,2015,-572315798.0,-187848247.0,3697872516.0,787326949.0,694290388.0,3536667887.0,900050.0,중국원양자원유한공사,,,900050,-0.10870897785263262,0.026306275842858072
00722500,2016,-1512742436.0,335711608.0,3173177921.0,753029798.0,1587126219.0,3697872516.0,900050.0,중국원양자원유한공사,,,900050,-0.49986959691067945,-0.2255611618277865
00533678,2015,574242053.0,573592808.0,9825727622.0,654765900.0,,9821849365.0,83620.0,아시아퍼시픽15호선박투자회사,,,083620,6.610211334675666e-05,
00533678,2016,575815280.0,577346641.0,9826007512.0,662705356.0,,9825727622.0,83620.0,아시아퍼시픽15호선박투자회사,,,083620,-0.00015585217287839855,
01047716,2015,10482726.0,17025916.0,5424882079.0,0.0,,5390561572.0,208870.0,하나머스트3호기업인수목적,,,208870,-0.001213823441696141,
01047716,2016,1738885.0,24226638.0,5444233322.0,,,5424882079.0,208870.0,하나머스트3호기업인수목적,,,208870,-0.0041452980309104335,
00686147,2015,12303950046.0,-11878878756.0,155886022558.0,187120216881.0,158057685266.0,108655702012.0,104120.0,신성에프에이,,,104120,0.222563826418693,0.2674735985028224
00686068,2015,3227196154.0,6375992708.0,151717812866.0,209377830746.0,180458219828.0,131201371149.0,104110.0,신성이엔지,,,104110,-0.023999722917712813,0.22042156011584046
00163619,2015,1579875103.0,11439754323.0,122079823072.0,79727795480.0,68731901316.0,120596288123.0,61460.0,한진피앤씨,,,061460,-0.08175939221233405,0.09117937488080012
00163619,2016,9732164750.0,2224273597.0,123260927887.0,91204419988.0,78470096751.0,122079823072.0,61460.0,한진피앤씨,,,061460,0.06149985283458357,0.10431144898931886
00267960,2015,-68938577938.0,-7553914902.0,129881897484.0,18145849048.0,17285853057.0,219654789392.0,36500.0,에스에스컴텍,,,036500,-0.2794597067785843,0.00391521620530311
00267960,2016,-53209819504.0,-31157187832.0,33933353470.0,52526429695.0,49950895670.0,129881897484.0,36500.0,에스에스컴텍,,,036500,-0.1697898791070298,0.01982981520051535
00529310,2015,475697556.0,475597438.0,8076640269.0,524685171.0,,8074104412.0,83350.0,동북아10호선박투자회사,,,083350,1.2399889187858573e-05,
00529310,2016,477000799.0,477352330.0,8082292208.0,528360092.0,,8076640269.0,83350.0,동북아10호선박투자회사,,,083350,-4.352440969164576e-05,
00413824,2015,-16893205000.0,-17932044132.0,94097710100.0,41747398607.0,30492040407.0,81164751546.0,86200.0,제이앤유글로벌,,,086200,0.012799141403288096,0.13867298286031274
01089828,2015,26769849.0,-10077886.0,13852422165.0,0.0,0.0,,221200.0,유진기업인수목적3호,,,221200,,
01089828,2016,127483548.0,154808782.0,14017106599.0,0.0,0.0,13852422165.0,221200.0,유진기업인수목적3호,,,221200,-0.0019725961044589633,0.0
00130949,2015,50278855042.0,78535051807.0,362792050192.0,357640656211.0,,303885364081.0,16170.0,카카오엠,,,016170,-0.09298307883451856,
