corp_code,stock_code,corp_name
00260985,036720,한빛네트
00264529,040130,엔플렉스
00358545,055000,동서정보기술
00231567,032600,애드모바일
00359614,056140,리더컴
00153551,012400,허메스홀딩스
00344746,045880,유티엑스
00261188,037830,글로포스트
00268020,030390,쏠라엔텍
00269287,041320,보홍
00475286,078420,동북아1호선박투자회사
00250775,046350,에듀아크
00114321,013650,데코
00191108,015390,엘앤씨피
00167378,019640,희훈디앤지
00225210,058690,퓨쳐인포넷
00223346,035400,쓰리디넷
00174129,024100,제일저축은행
00114826,026540,제일창업투자
00173333,016510,현대DSF
00687599,950030,네프로아이티
00256292,036790,자강
00271431,038830,케이엠에스
00154727,020070,에버리소스
00246189,037110,제이에스
00154204,007490,태창기업
00152631,017300,에이치비이에너지
00358095,056850,코어비트
00510215,082110,동북아8호선박투자회사
00347619,045760,한국통신데이타
00372013,062730,케너텍
00353735,055250,다휘
00186540,022520,코오롱아이넷
00128759,004620,캠브리지코오롱
00535588,089240,네오세미테크
00264981,045260,디에이치패션
00231521,032380,핸디소프트
00159908,009690,케이엠에이치
00259493,035710,씨엘엘씨디
00359641,114410,현대푸드시스템
00161639,012420,메리츠종합금융
00211271,034660,제넥셀세인
00388272,065340,쓰리디월드
00264796,043680,스톰이앤에프
00134909,035010,소예
00236368,048640,엠엔에프씨
00684547,103150,하이트맥주
00251385,066690,보광티에스
00262682,040740,아인스엠앤엠
00234555,038420,씨엔씨엔터프라이즈
00507257,084810,아이알디
00417963,067850,바이나믹
00543523,086720,코크렙제7호위탁관리부동산투자회사
00300566,054170,엔빅스
00299376,054010,선팩테크
00112068,001190,마이크로닉스
00257194,033720,블루스톤디앤아이
00477372,078700,신지소프트
00465410,076850,맥쿼리센트럴오피스기업구조조정부동산투자회사
00331760,048510,테스텍
00200761,030030,중앙디자인
00268297,042870,에코페트로시스템
00161301,021060,한림창업투자
00237260,036270,헤쎄나
00297970,037510,미래에셋굿라이프혼합형자녀를위한투자회사10-1
00107358,032030,일공공일안경콘택트
00267474,043630,지앤알
00134051,013240,셀런
00596066,093820,한국베트남15-1유전해외자원개발투자회사
00347363,052310,에이치원바이오
00150226,008400,씨앤중공업
00152914,001370,FnC코오롱
00158839,017010,제너비오믹스
00159281,011050,케드콤
00210537,065410,지엔텍홀딩스
00240370,044640,동부씨엔아이
00247887,051820,아이피에스
00268358,046240,에스브이에이치
00316488,060750,제이콤
00264130,043790,옥션
00540304,088020,네이쳐글로벌
00617299,094950,GB블루오션베트남주식혼합형투자회사1호
00262275,052210,엠씨티티코어
00200798,032930,에이스앤파트너스
00335924,061050,지앤디윈텍
00111591,014010,인터피온반도체
00189343,007800,솔로몬저축은행
00252588,046320,엠트론스토리지테크놀로지
00267997,031800,에스티앤아이
00299686,060670,유퍼트
00463050,074140,엑스로드
00238913,068770,선우중공업
00107446,003020,남양
00114303,015940,엘지데이콤
00318617,045820,LG파워콤
00267775,031960,동산진흥
00394574,067950,티이씨
00110176,008320,한국기술산업
00136554,017050,스타맥스
00144562,024870,유성티에스아이
00370547,058550,네오리소스
00242439,035950,케이알
00134060,000790,씨앤상선
00392600,058900,투미비티
00259855,039990,코아정보시스템
00385451,066340,케이에스리소스
00258944,047600,세계투어
00798530,122290,동양밸류오션기업인수목적
00451268,077960,케이이엔지
00336570,063280,사이버패스
00363325,079870,산양전기
00148188,032150,으뜸상호저축은행
00508566,080570,국제개발
00133928,004230,세신
00540784,084160,골든브릿지더블유엠경매부동산일호투자회사
00298252,061140,엘앤피아너스
00264556,038690,에이스일렉트로닉스
00581000,090090,디앤샵
00359094,054120,더체인지
00686970,105380,다산자기관리부동산투자회사
00255309,035500,써니트렌드
00362380,054650,뉴젠비아이티
00244862,033880,룩소네이트
00297165,042100,현대오토넷
00105767,016990,LG마이크론
00173397,001600,서광건설산업
00259606,036660,플러스프로핏
00178471,037020,한와이어리스
00331733,049690,포휴먼
00104892,023670,알이네트웍스
00647917,101790,케이알제2호개발전문위탁관리부동산투자회사
00597764,094520,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호
00355821,088960,씨티엘테크
00329677,052650,이디디컴퍼니
00244871,032390,케이티프리텔
00246383,035830,메카포럼
00345499,048130,에스피코프
00348140,045400,이롬텍
00215107,047450,이앤텍
00560991,088810,맥스브로
00265263,037700,토자이홀딩스
00142564,013200,우방
00198572,023020,동양매직
00642648,900020,코웰이홀딩스유한공사
00537443,078670,아구스
00113173,007480,대한은박지
00441872,073130,인스프리트
00480844,079340,하이럭스
00262044,053070,트리니티
00101442,032570,카라반케이디이
00295875,045380,더존디지털웨어
00441298,080140,디보스
00263885,045290,포네이처
00475532,076090,테이크시스템즈
00130204,033190,폴켐
00128731,007050,유리이에스
00325981,047370,에프아이투어
00540021,085680,모빌탑
00362089,052970,올리브나인
00228916,030420,디패션
00114215,025970,알덱스
00109648,016160,오라바이오틱스
00261212,037320,시노펙스그린테크
00348007,059720,야호커뮤니케이션
00275808,048760,브이케이
00375579,063350,팬택앤큐리텔
00197324,025460,팬텀엔터테인먼트그룹
00339063,052560,삼성수산
00538497,084240,동북아15호선박투자회사
00225140,033260,쌈지
00101947,018890,브이오산업
00287724,041800,코디콤
00347840,052640,제네시스엔알디
00504357,080410,동북아6호선박투자회사
00269339,041450,인네트
00634959,098150,한국월드와이드아시아태평양특별자산1호투자회사
00267094,039350,헤파호프코리아
00142698,006210,휴리프
00350057,057100,하이스마텍
00721981,108070,삼성디지털이미징
00248691,037150,씨제이인터넷
00335562,056200,엠넷미디어
00369675,045710,온미디어
00265078,039040,유니텍전자
00267809,019430,위더스기술금융
00314000,037550,클라스타
00355292,052810,아시아미디어홀딩스
00386557,056010,아이스테이션
00548865,088010,동북아21호선박투자회사
00221320,036550,에이스디지텍
00124054,007830,부산저축은행
00301486,068630,에피밸리
00311298,053470,오페스
00348557,047710,액티투오
00265342,038920,에이치에스씨홀딩스
00156734,027840,한국고덴시
00208693,036850,나리지*온
00128953,014420,프로비타
00428792,069470,제로원인터랙티브
00148744,000610,제일화재해상보험
00518873,083120,동북아9호선박투자회사
00300779,051530,굿이엠지
00397766,066850,아이드림
00174305,004820,조인에너지
00320807,048140,태광이엔시
00106492,004790,렉스엘이앤지
00592583,093400,코리아퍼시픽05호선박투자회사
00275260,048460,엑큐리스
00183914,025920,우경
00481676,081220,세미텍
00104971,000470,그린손해보험
00269773,040180,대양글로벌
00334767,046720,엔하이테크
00453752,073930,제너시스템즈
00140919,015050,엘트온
00255840,036210,태산엘시디
00133034,012090,성원건설
00161028,004550,대우송도개발
00174475,018410,현대금속
00251482,034010,트라이써클
00824659,126680,아이비케이에스스마트에스엠이기업인수목적1호
00259536,037540,네스테크
00505198,080980,동북아5호선박투자회사
00679730,101990,파브코
00803504,122750,우리기업인수목적1호
00350118,054150,뉴젠아이씨티
00352295,041630,인젠
00240088,036920,지앤에스티
00560025,090540,코크렙제8호위탁관리부동산투자회사
00140380,003640,유니온스틸
00101275,001670,경남모직
00797674,121910,대우증권그린코리아기업인수목적회사
00244589,033850,지노시스템
00802028,123290,한국투자신성장1호기업인수목적회사
00371519,066060,휴먼텍코리아
00126593,071660,에스에스씨피
00220181,089480,평산
00254009,036610,지디코프
00505541,081190,아시아퍼시픽2호선박투자회사
00240398,034510,무한투자
00828309,128910,동부티에스블랙펄기업인수목적
00349468,053040,블루젬디앤씨
00808262,123300,부국퓨쳐스타즈기업인수목적
00252393,049000,예당컴퍼니
00229818,032420,터보테크
00154189,008540,케이비물산
00680161,900030,연합과기공고유한공사
00102645,012410,글로스텍
00844884,950070,중국고섬공고유한공사
00592592,093410,코리아퍼시픽06호선박투자회사
00268437,010670,나노트로닉스
00798284,121950,미래에셋제1호기업인수목적
00164195,037380,에이원마이크로
00264811,045470,에이프로테크놀로지
00676380,110310,모린스
00543231,091690,디지텍시스템스
00122436,011800,배명금속
00505189,080970,동북아4호선박투자회사
00271413,040020,사라콤
00245296,065610,폴리플러스
00480905,085990,영찬테크
00890333,149130,케이비부국제1호개발전문위탁관리부동산투자회사
00510534,081930,아시아퍼시픽8호선박투자회사
00150855,007200,진흥저축은행
00173634,009010,에듀언스
00830377,900150,성융광전투자유한공사
00224567,066300,샤인시스템
00582054,081090,씨모텍
00125929,014900,에스컴
00502793,080180,아시아퍼시픽1호선박투자회사
00505550,081200,아시아퍼시픽3호선박투자회사
00104704,025610,한국저축은행
00361035,056710,미리넷
00630111,900010,3노드디지탈그룹유한공사
00264802,038720,유일엔시스
00399773,064420,케이피케미칼
00257529,041030,이루넷
00804114,123550,대신증권그로쓰알파기업인수목적
00416706,071530,유에이블
00173324,019120,경윤하이드로에너지
00121729,004010,롯데미도파
00808226,124050,한화에스브이명장제1호기업인수목적
00162577,019260,셀텍
