corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y
00890333,2015,-11524510969.0,21486070198.0,16710131330.0,23069504214.0,31087031404.0,36564002554.0,149130.0,케이비부국제1호개발전문위탁관리부동산투자회사,,
00580603,2015,865477274.0,876045525.0,13603500588.0,926826840.0,,12762761750.0,90970.0,코리아퍼시픽01호선박투자회사,,
00580612,2015,865476847.0,863774289.0,13453738393.0,926826838.0,,12620530625.0,90980.0,코리아퍼시픽02호선박투자회사,,
00317830,2015,-15903726325.0,2719175616.0,54529485111.0,147105328721.0,150525150112.0,87518886685.0,86830.0,신양오라컴디스플레이,,
00580621,2015,865476869.0,871401105.0,13446608928.0,926826839.0,,12620504085.0,90990.0,코리아퍼시픽03호선박투자회사,,
00580630,2015,865476801.0,866325405.0,13494047813.0,926826838.0,,12663198036.0,91000.0,코리아퍼시픽04호선박투자회사,,
00533696,2015,574127085.0,578085911.0,9818334155.0,656325429.0,,9814168766.0,83610.0,아시아퍼시픽14호선박투자회사,,
00533696,2016,575700066.0,580569008.0,9813808694.0,663760314.0,,9818334155.0,83610.0,아시아퍼시픽14호선박투자회사,,
00533757,2015,782371360.0,783782242.0,13196482355.0,856867992.0,,13194942887.0,83600.0,아시아퍼시픽13호선박투자회사,,
00533757,2016,784514915.0,794880292.0,13189792552.0,864748113.0,,13196482355.0,83600.0,아시아퍼시픽13호선박투자회사,,
00533580,2015,782371461.0,784362455.0,13162145993.0,856716791.0,,13159994867.0,83570.0,아시아퍼시픽10호선박투자회사,,
00533580,2016,784515126.0,788303731.0,13161741363.0,864946080.0,,13162145993.0,83570.0,아시아퍼시픽10호선박투자회사,,
00533793,2015,782371446.0,783358292.0,13147120496.0,857391058.0,,13146082658.0,83580.0,아시아퍼시픽11호선박투자회사,,
00533793,2016,784515086.0,789102187.0,13147593264.0,866341679.0,,13147120496.0,83580.0,아시아퍼시픽11호선박투자회사,,
00533836,2015,782371769.0,799426424.0,13137951349.0,857057335.0,,13120842713.0,83590.0,아시아퍼시픽12호선박투자회사,,
00533836,2016,784515074.0,778751717.0,13119506011.0,866284036.0,,13137951349.0,83590.0,아시아퍼시픽12호선박투자회사,,
00144766,2015,-38861910359.0,-6287088827.0,158022555395.0,126123094320.0,128078637194.0,230979281502.0,4320.0,호반산업,,
00372989,2015,-12542065718.0,-4898757113.0,31133574122.0,17063736190.0,14389461355.0,20007153960.0,58370.0,비엔씨컴퍼니,,
00529523,2015,475697585.0,475601432.0,8068223759.0,524685171.0,,8065687039.0,83360.0,동북아11호선박투자회사,,
00529523,2016,477000830.0,478656025.0,8072572813.0,528360091.0,,8068223759.0,83360.0,동북아11호선박투자회사,,
00526474,2015,475697641.0,476896405.0,8093600307.0,524685171.0,,8093677218.0,83390.0,동북아14호선박투자회사,,
00526474,2016,477000861.0,478654058.0,8100553154.0,528360091.0,,8093600307.0,83390.0,동북아14호선박투자회사,,
00124018,2015,-2231659553.0,6981868424.0,58942999731.0,36576617184.0,36637190462.0,66332069785.0,25270.0,부산방직공업,,
00364926,2015,-82954933187.0,14524476611.0,257497601452.0,318576393950.0,354244452341.0,304080478337.0,65270.0,플렉스컴,,
00164955,2015,-2674410054.0,-8223471556.0,40175837805.0,29201952282.0,23531631119.0,43118468489.0,11720.0,현대페인트,,
00790501,2015,3041110983.0,,7423502246684.0,7735467142783.0,7398874804999.0,8515298669644.0,117930.0,한진해운,,
00394778,2015,-11478381572.0,-4895770881.0,45125501601.0,16141855024.0,9520788930.0,43022768772.0,68150.0,케이엔씨글로벌,,
00137702,2015,-1409439496.0,36755915745.0,435256833368.0,365553653975.0,324811828307.0,455348222812.0,7190.0,한솔아트원제지,,
00418476,2015,-5501643334.0,-15052535986.0,73152887817.0,4444328376.0,3594821165.0,71550155095.0,74150.0,엠제이비,,
00587101,2015,-2368083720.0,10826542.0,603211570.0,32931000.0,,2971175594.0,92630.0,바다로3호선박투자회사,,
00351047,2015,-5198138375.0,-16535673954.0,44721431955.0,10912750816.0,7367212399.0,83353165770.0,53810.0,아이팩토리,,
00496003,2015,-15585609146.0,-3225963363.0,14793713399.0,1603991091.0,4932981364.0,23735921104.0,82390.0,피엘에이,,
00149664,2015,-57073350531.0,-16911473797.0,57717973423.0,,,102573542977.0,15110.0,중앙건설,,
