cik,sic
1750,3720.0
1800,2834.0
2098,3420.0
2186,3663.0
2488,3674.0
2809,1040.0
2969,2810.0
3197,3564.0
3453,4400.0
3499,6798.0
3545,100.0
3570,4924.0
4127,3674.0
4281,3350.0
4457,7510.0
4904,4911.0
4962,6199.0
4977,6321.0
5272,6331.0
5513,6321.0
5981,2870.0
6176,3561.0
6201,4512.0
6207,6552.0
6281,3674.0
6845,3231.0
6951,3674.0
6955,3590.0
7084,2070.0
7431,3089.0
7536,5065.0
7623,3523.0
7789,6022.0
8063,3728.0
8146,3577.0
8177,6311.0
8504,3721.0
8670,7374.0
8818,2670.0
8858,5065.0
8947,3470.0
9092,3824.0
9326,2800.0
9389,3411.0
10048,1311.0
10329,2511.0
10456,3841.0
10795,3841.0
11544,6331.0
12040,5812.0
12208,3826.0
12239,6211.0
12659,7200.0
12927,3721.0
13156,7900.0
14177,2013.0
14272,2834.0
14693,2080.0
14707,3140.0
14846,6798.0
14930,3510.0
15615,1623.0
15847,7990.0
16040,2890.0
16058,7373.0
16160,200.0
16732,2000.0
16918,2080.0
17313,
17843,3312.0
18230,3531.0
18255,5621.0
18498,5661.0
18926,4813.0
19584,8082.0
19617,6021.0
19745,4923.0
19871,3540.0
20212,7948.0
20286,6331.0
20639,6512.0
21076,2842.0
21175,6331.0
21344,2080.0
21535,3825.0
21665,2844.0
22356,6022.0
22444,3312.0
22701,1700.0
23194,1311.0
23197,3663.0
23217,2000.0
23795,6798.0
24090,6311.0
24545,2082.0
24741,3357.0
25232,6798.0
25445,3490.0
25475,6411.0
25743,2834.0
25895,2211.0
26058,3672.0
26172,3510.0
26324,3590.0
26780,3714.0
27093,1000.0
27419,5331.0
27904,4512.0
27996,2780.0
28823,3578.0
28917,5311.0
29002,3674.0
29332,2273.0
29534,5331.0
29644,3564.0
29905,3530.0
29989,7311.0
30305,3728.0
30554,2820.0
30625,3561.0
30697,5810.0
31107,3420.0
31235,3861.0
31462,2840.0
31667,5190.0
31791,3826.0
32604,3600.0
32621,3651.0
33002,2761.0
33185,7320.0
33213,1311.0
33488,3949.0
33533,3679.0
33992,6331.0
34067,3390.0
34285,7363.0
34782,6022.0
34903,6798.0
34956,2834.0
35527,6022.0
36029,6022.0
36104,6021.0
36146,6021.0
36270,6022.0
36377,6022.0
36840,6798.0
36966,6021.0
37472,2510.0
37785,2800.0
37808,6021.0
37996,3711.0
38264,6199.0
38725,3621.0
38777,6282.0
39020,3825.0
39092,3310.0
39263,6021.0
39311,6022.0
39368,2891.0
39911,5651.0
40211,4700.0
40533,3730.0
40545,3600.0
40570,7361.0
40704,2040.0
40729,6022.0
40987,5013.0
41719,2621.0
42582,3011.0
42682,3561.0
42888,3561.0
43196,4833.0
43920,3412.0
45012,1389.0
45919,7331.0
46080,3944.0
46129,3825.0
46195,6022.0
46250,5160.0
46619,3724.0
46765,1381.0
47111,2060.0
47217,3570.0
48287,2522.0
48465,2011.0
48898,3670.0
49071,6324.0
49196,6021.0
49600,6798.0
49754,5812.0
49826,3560.0
50292,3678.0
50471,7374.0
50493,5411.0
50725,3442.0
50863,3674.0
51143,3570.0
51253,2860.0
51434,2621.0
52827,6798.0
52988,1600.0
54187,6512.0
55135,7363.0
55234,7990.0
55242,3541.0
55529,3821.0
55785,2670.0
56047,4400.0
56679,7361.0
56701,3651.0
56868,1311.0
56873,5411.0
56978,3674.0
57131,2510.0
57515,2030.0
58361,2711.0
58492,2510.0
59255,2810.0
59478,2834.0
59527,3540.0
59558,6311.0
60086,6331.0
60519,2400.0
60667,5211.0
60714,2810.0
61004,3679.0
61986,3531.0
62234,7830.0
62709,6411.0
62996,3430.0
63276,3942.0
63296,3360.0
63330,6500.0
63754,2090.0
63908,5812.0
64040,7320.0
64463,6199.0
64472,3531.0
64803,5912.0
64996,6331.0
65172,6795.0
65270,3678.0
65312,7200.0
65596,6211.0
65770,3679.0
65984,4911.0
66004,4941.0
66382,2520.0
66418,1311.0
66570,3842.0
66740,3841.0
67215,1623.0
67347,3714.0
67716,1400.0
67887,3590.0
68505,3663.0
68622,4813.0
69422,6513.0
69488,3089.0
69633,3669.0
69733,5812.0
69891,2086.0
70145,4924.0
70318,8062.0
70487,8731.0
70502,6159.0
70858,6021.0
70866,3578.0
71557,4813.0
71691,2711.0
71829,7350.0
72162,2810.0
72205,2451.0
72331,3569.0
72444,2836.0
72573,3873.0
72741,4911.0
72903,4931.0
72971,6021.0
73124,6022.0
73290,2835.0
73309,3312.0
73756,1389.0
74046,3990.0
74208,6798.0
74260,6351.0
74303,2800.0
75252,5047.0
75288,2320.0
75362,3711.0
75677,2650.0
76267,3728.0
76282,3460.0
76334,3490.0
76605,3714.0
77360,3550.0
77476,2080.0
77543,1540.0
78003,2834.0
78128,4941.0
78239,2320.0
78749,7373.0
78814,3579.0
78890,4731.0
79282,6411.0
79661,6552.0
79879,2851.0
80035,1623.0
80172,3480.0
80420,3613.0
80424,2840.0
80661,6331.0
81362,2990.0
81955,
82020,1400.0
82473,6798.0
82811,3569.0
83350,1311.0
84112,3669.0
84246,6331.0
84748,2821.0
84839,7340.0
85535,6795.0
85961,7510.0
86115,6799.0
86312,6331.0
87050,3679.0
87347,1389.0
87802,3826.0
88000,6282.0
88121,5150.0
88205,3540.0
88941,3674.0
88948,2033.0
89089,7200.0
89439,3350.0
89800,5200.0
90168,3724.0
90498,6021.0
90896,2451.0
91142,3630.0
91388,2011.0
91419,2033.0
91440,3420.0
91576,6021.0
91668,3674.0
91767,2650.0
92103,4911.0
92122,4911.0
92230,6021.0
92380,4512.0
93314,2835.0
93389,3714.0
93410,2911.0
93556,3420.0
93751,6022.0
